"Title","PPI INDEX INPUT - C_MAT Inputs into production of Materials for all manufacturing, excluding Climate Change Levy 2015=100"
"CDID","GHIK"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","17-01-2024"
"Next release","14 February 2024"
"Important notes",
"2009","93.1"
"2010","99.1"
"2011","109.7"
"2012","110.1"
"2013","110.2"
"2014","106.6"
"2015","100.0"
"2016","101.6"
"2017","108.9"
"2018","113.9"
"2019","114.7"
"2020","112.4"
"2021","123.2"
"2022","146.3"
"2023","146.6"
"2009 Q1","92.2"
"2009 Q2","92.5"
"2009 Q3","92.9"
"2009 Q4","94.8"
"2010 Q1","96.4"
"2010 Q2","99.1"
"2010 Q3","99.1"
"2010 Q4","101.8"
"2011 Q1","106.7"
"2011 Q2","110.8"
"2011 Q3","110.8"
"2011 Q4","110.3"
"2012 Q1","111.5"
"2012 Q2","110.2"
"2012 Q3","109.3"
"2012 Q4","109.6"
"2013 Q1","111.5"
"2013 Q2","110.1"
"2013 Q3","110.4"
"2013 Q4","108.8"
"2014 Q1","108.3"
"2014 Q2","107.8"
"2014 Q3","106.3"
"2014 Q4","104.0"
"2015 Q1","101.4"
"2015 Q2","101.3"
"2015 Q3","99.3"
"2015 Q4","98.0"
"2016 Q1","97.8"
"2016 Q2","100.0"
"2016 Q3","102.9"
"2016 Q4","105.7"
"2017 Q1","107.7"
"2017 Q2","108.0"
"2017 Q3","109.0"
"2017 Q4","110.7"
"2018 Q1","111.6"
"2018 Q2","113.6"
"2018 Q3","115.2"
"2018 Q4","115.2"
"2019 Q1","114.1"
"2019 Q2","115.3"
"2019 Q3","115.5"
"2019 Q4","113.8"
"2020 Q1","113.1"
"2020 Q2","110.7"
"2020 Q3","112.3"
"2020 Q4","113.5"
"2021 Q1","117.3"
"2021 Q2","121.5"
"2021 Q3","124.6"
"2021 Q4","129.3"
"2022 Q1","136.1"
"2022 Q2","148.0"
"2022 Q3","150.5"
"2022 Q4","150.6"
"2023 Q1","149.3"
"2023 Q2","146.2"
"2023 Q3","145.1"
"2023 Q4","145.7"
"2008 DEC","91.3"
"2009 JAN","92.0"
"2009 FEB","91.9"
"2009 MAR","92.7"
"2009 APR","92.1"
"2009 MAY","92.6"
"2009 JUN","93.0"
"2009 JUL","92.4"
"2009 AUG","93.2"
"2009 SEP","93.2"
"2009 OCT","94.5"
"2009 NOV","94.8"
"2009 DEC","95.1"
"2010 JAN","95.4"
"2010 FEB","95.7"
"2010 MAR","98.0"
"2010 APR","99.3"
"2010 MAY","99.2"
"2010 JUN","98.9"
"2010 JUL","98.9"
"2010 AUG","98.9"
"2010 SEP","99.5"
"2010 OCT","100.8"
"2010 NOV","101.3"
"2010 DEC","103.2"
"2011 JAN","105.2"
"2011 FEB","106.2"
"2011 MAR","108.7"
"2011 APR","111.2"
"2011 MAY","110.4"
"2011 JUN","110.7"
"2011 JUL","111.1"
"2011 AUG","110.0"
"2011 SEP","111.5"
"2011 OCT","110.5"
"2011 NOV","110.5"
"2011 DEC","110.0"
"2012 JAN","110.0"
"2012 FEB","111.6"
"2012 MAR","112.9"
"2012 APR","112.0"
"2012 MAY","110.3"
"2012 JUN","108.3"
"2012 JUL","108.3"
"2012 AUG","109.8"
"2012 SEP","109.8"
"2012 OCT","109.7"
"2012 NOV","109.5"
"2012 DEC","109.5"
"2013 JAN","110.3"
"2013 FEB","112.1"
"2013 MAR","112.2"
"2013 APR","110.7"
"2013 MAY","109.9"
"2013 JUN","109.7"
"2013 JUL","110.7"
"2013 AUG","110.5"
"2013 SEP","110.0"
"2013 OCT","109.1"
"2013 NOV","108.5"
"2013 DEC","108.7"
"2014 JAN","108.3"
"2014 FEB","108.3"
"2014 MAR","108.2"
"2014 APR","107.8"
"2014 MAY","108.1"
"2014 JUN","107.7"
"2014 JUL","106.8"
"2014 AUG","106.3"
"2014 SEP","105.8"
"2014 OCT","104.9"
"2014 NOV","104.3"
"2014 DEC","102.9"
"2015 JAN","101.3"
"2015 FEB","101.4"
"2015 MAR","101.4"
"2015 APR","101.6"
"2015 MAY","101.5"
"2015 JUN","100.8"
"2015 JUL","100.1"
"2015 AUG","98.8"
"2015 SEP","98.9"
"2015 OCT","98.8"
"2015 NOV","97.9"
"2015 DEC","97.5"
"2016 JAN","97.3"
"2016 FEB","97.5"
"2016 MAR","98.5"
"2016 APR","99.1"
"2016 MAY","100.0"
"2016 JUN","100.9"
"2016 JUL","102.4"
"2016 AUG","103.0"
"2016 SEP","103.3"
"2016 OCT","105.6"
"2016 NOV","105.3"
"2016 DEC","106.2"
"2017 JAN","107.4"
"2017 FEB","107.7"
"2017 MAR","108.0"
"2017 APR","108.2"
"2017 MAY","107.9"
"2017 JUN","108.0"
"2017 JUL","108.2"
"2017 AUG","109.2"
"2017 SEP","109.5"
"2017 OCT","110.1"
"2017 NOV","111.0"
"2017 DEC","111.1"
"2018 JAN","111.5"
"2018 FEB","111.3"
"2018 MAR","111.8"
"2018 APR","112.3"
"2018 MAY","114.0"
"2018 JUN","114.4"
"2018 JUL","114.5"
"2018 AUG","115.2"
"2018 SEP","115.8"
"2018 OCT","116.3"
"2018 NOV","115.1"
"2018 DEC","114.3"
"2019 JAN","113.9"
"2019 FEB","114.1"
"2019 MAR","114.3"
"2019 APR","115.3"
"2019 MAY","115.5"
"2019 JUN","115.1"
"2019 JUL","115.7"
"2019 AUG","115.7"
"2019 SEP","115.1"
"2019 OCT","114.2"
"2019 NOV","113.5"
"2019 DEC","113.6"
"2020 JAN","113.8"
"2020 FEB","113.3"
"2020 MAR","112.1"
"2020 APR","109.8"
"2020 MAY","110.5"
"2020 JUN","111.8"
"2020 JUL","112.3"
"2020 AUG","112.2"
"2020 SEP","112.4"
"2020 OCT","112.7"
"2020 NOV","113.2"
"2020 DEC","114.5"
"2021 JAN","115.9"
"2021 FEB","116.9"
"2021 MAR","119.0"
"2021 APR","120.5"
"2021 MAY","121.5"
"2021 JUN","122.4"
"2021 JUL","124.0"
"2021 AUG","124.4"
"2021 SEP","125.5"
"2021 OCT","127.9"
"2021 NOV","129.6"
"2021 DEC","130.4"
"2022 JAN","132.4"
"2022 FEB","134.6"
"2022 MAR","141.3"
"2022 APR","144.6"
"2022 MAY","148.2"
"2022 JUN","151.1"
"2022 JUL","150.9"
"2022 AUG","149.5"
"2022 SEP","150.9"
"2022 OCT","152.1"
"2022 NOV","150.9"
"2022 DEC","148.7"
"2023 JAN","149.6"
"2023 FEB","149.0"
"2023 MAR","149.3"
"2023 APR","148.0"
"2023 MAY","146.3"
"2023 JUN","144.4"
"2023 JUL","143.9"
"2023 AUG","145.4"
"2023 SEP","146.1"
"2023 OCT","147.0"
"2023 NOV","146.0"
"2023 DEC","144.3"
